"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-06-29 14:30:00,2015-06-29 20:00:00,"pm25","Anand Vihar","Anand+Vihar",30,"µg/m³","Delhi","IN",NA,NA
2015-06-30 04:10:00,2015-06-30 09:40:00,"pm25","Anand Vihar","Anand+Vihar",56,"µg/m³","Delhi","IN",NA,NA
2015-06-30 04:30:00,2015-06-30 10:00:00,"pm25","Anand Vihar","Anand+Vihar",93,"µg/m³","Delhi","IN",NA,NA
2015-06-30 05:10:00,2015-06-30 10:40:00,"pm25","Anand Vihar","Anand+Vihar",93,"µg/m³","Delhi","IN",NA,NA
2015-06-30 05:30:00,2015-06-30 11:00:00,"pm25","Anand Vihar","Anand+Vihar",98,"µg/m³","Delhi","IN",NA,NA
2015-06-30 07:10:00,2015-06-30 12:40:00,"pm25","Anand Vihar","Anand+Vihar",74,"µg/m³","Delhi","IN",NA,NA
2015-06-30 11:40:00,2015-06-30 17:10:00,"pm25","Anand Vihar","Anand+Vihar",71,"µg/m³","Delhi","IN",NA,NA
2015-06-30 12:20:00,2015-06-30 17:50:00,"pm25","Anand Vihar","Anand+Vihar",71,"µg/m³","Delhi","IN",NA,NA
2015-06-30 12:40:00,2015-06-30 18:10:00,"pm25","Anand Vihar","Anand+Vihar",117,"µg/m³","Delhi","IN",NA,NA
2015-06-30 13:20:00,2015-06-30 18:50:00,"pm25","Anand Vihar","Anand+Vihar",117,"µg/m³","Delhi","IN",NA,NA
2015-06-30 13:30:00,2015-06-30 19:00:00,"pm25","Anand Vihar","Anand+Vihar",77,"µg/m³","Delhi","IN",NA,NA
2015-06-30 14:20:00,2015-06-30 19:50:00,"pm25","Anand Vihar","Anand+Vihar",77,"µg/m³","Delhi","IN",NA,NA
2015-06-30 14:40:00,2015-06-30 20:10:00,"pm25","Anand Vihar","Anand+Vihar",84,"µg/m³","Delhi","IN",NA,NA
2015-06-30 15:20:00,2015-06-30 20:50:00,"pm25","Anand Vihar","Anand+Vihar",84,"µg/m³","Delhi","IN",NA,NA
2015-06-30 15:40:00,2015-06-30 21:10:00,"pm25","Anand Vihar","Anand+Vihar",41,"µg/m³","Delhi","IN",NA,NA
2015-06-30 16:20:00,2015-06-30 21:50:00,"pm25","Anand Vihar","Anand+Vihar",41,"µg/m³","Delhi","IN",NA,NA
2015-06-30 17:40:00,2015-06-30 23:10:00,"pm25","Anand Vihar","Anand+Vihar",49,"µg/m³","Delhi","IN",NA,NA
2015-06-30 18:40:00,2015-07-01 00:10:00,"pm25","Anand Vihar","Anand+Vihar",34,"µg/m³","Delhi","IN",NA,NA
